iter	Passed	Remaining
0	278	277923
1	435	217527
2	549	182543
3	649	161783
4	751	149503
5	848	140572
6	943	133901
7	1045	129666
8	1152	126875
9	1244	123243
10	1355	121896
11	1454	119727
12	1584	120312
13	1692	119198
14	1789	117500
15	1908	117391
16	2011	116335
17	2125	115947
18	2238	115595
19	2346	114966
20	2447	114092
21	2543	113088
22	2642	112266
23	2755	112051
24	2863	111676
25	2972	111355
26	3077	110914
27	3164	109855
28	3281	109888
29	3385	109473
30	3477	108694
31	3589	108568
32	3704	108565
33	3808	108203
34	3918	108043
35	4023	107747
36	4140	107763
37	4240	107347
38	4330	106696
39	4457	106983
40	4580	107150
41	4673	106599
42	4773	106245
43	4885	106157
44	4989	105884
45	5095	105686
46	5200	105443
47	5301	105146
48	5398	104779
49	5478	104082
50	5578	103809
51	5681	103586
52	5779	103265
53	5883	103078
54	5985	102847
55	6085	102584
56	6206	102681
57	6327	102765
58	6432	102597
59	6540	102473
60	6646	102306
61	6739	101963
62	6830	101587
63	6915	101140
64	7034	101190
65	7135	100982
66	7243	100868
67	7340	100605
68	7455	100598
69	7545	100245
70	7681	100508
71	7791	100425
72	7901	100338
73	8012	100261
74	8106	99982
75	8211	99836
76	8308	99596
77	8412	99440
78	8511	99228
79	8605	98966
80	8711	98834
81	8813	98672
82	8907	98417
83	9007	98226
84	9119	98166
85	9224	98036
86	9324	97853
87	9424	97671
88	9520	97451
89	9655	97624
90	9771	97607
91	9884	97558
92	9985	97389
93	10089	97246
94	10193	97108
95	10296	96959
96	10396	96785
97	10493	96587
98	10589	96379
99	10688	96193
100	10786	96010
101	10882	95811
102	10982	95642
103	11078	95444
104	11180	95303
105	11298	95293
106	11413	95253
107	11558	95461
108	11655	95278
109	11754	95104
110	11855	94949
111	11967	94883
112	12073	94772
113	12166	94558
114	12256	94324
115	12352	94136
116	12453	93983
117	12552	93823
118	12648	93639
119	12763	93595
120	12865	93461
121	12963	93293
122	13062	93136
123	13165	93009
124	13266	92864
125	13368	92727
126	13497	92780
127	13603	92672
128	13711	92580
129	13806	92394
130	13893	92166
131	14006	92103
132	14118	92033
133	14218	91887
134	14316	91733
135	14461	91871
136	14564	91748
137	14658	91564
138	14765	91459
139	14869	91343
140	14980	91262
141	15090	91181
142	15201	91104
143	15300	90952
144	15395	90782
145	15477	90534
146	15588	90453
147	15696	90362
148	15806	90278
149	15911	90163
150	16009	90013
151	16104	89847
152	16245	89933
153	16356	89855
154	16471	89794
155	16578	89691
156	16681	89570
157	16771	89376
158	16872	89243
159	16973	89109
160	17077	88991
161	17190	88921
162	17294	88807
163	17395	88674
164	17496	88545
165	17596	88407
166	17700	88289
167	17863	88467
168	17988	88453
169	18151	88622
170	18264	88546
171	18371	88440
172	18484	88361
173	18589	88248
174	18703	88174
175	18818	88103
176	18914	87946
177	19012	87800
178	19114	87668
179	19225	87581
180	19315	87398
181	19427	87314
182	19563	87339
183	19677	87263
184	19771	87103
185	19878	86994
186	20012	87005
187	20126	86928
188	20225	86787
189	20323	86642
190	20418	86483
191	20537	86427
192	20695	86536
193	20811	86464
194	20913	86336
195	21020	86228
196	21134	86147
197	21250	86076
198	21347	85924
199	21450	85800
200	21553	85676
201	21657	85556
202	21776	85496
203	21915	85513
204	22014	85371
205	22130	85297
206	22248	85231
207	22364	85156
208	22460	85007
209	22575	84925
210	22681	84812
211	22790	84712
212	22897	84601
213	23011	84517
214	23138	84482
215	23243	84364
216	23349	84253
217	23455	84136
218	23575	84075
219	23711	84069
220	23823	83976
221	23926	83850
222	24031	83733
223	24128	83586
224	24235	83476
225	24333	83336
226	24430	83193
227	24533	83071
228	24626	82913
229	24732	82799
230	24828	82654
231	24933	82537
232	25038	82422
233	25135	82280
234	25231	82135
235	25320	81968
236	25418	81831
237	25520	81707
238	25659	81703
239	25758	81569
240	25884	81520
241	25987	81399
242	26091	81279
